ELEITO,SQ_CANDIDATO,CD_CARGO,NR_IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,CD_REELEICAO,VR_BEM_CANDIDATO,QT_VOTOS_NOMINAIS
0,120001614723,7,520,4,8,3,1,257,0,21000000,669
0,150001620820,7,500,4,8,9,2,581,0,1710000,171
0,210001621322,7,580,2,8,9,1,102,0,25015354,4679
0,220001647598,7,360,2,6,3,1,184,0,200000,270
0,60001713049,7,540,2,4,3,3,531,0,2750000,320
0,70001611403,6,600,4,6,1,2,922,0,205476,591
0,170001619698,7,650,2,8,3,1,111,0,427165016,2813
0,190001716395,7,490,2,6,1,1,532,0,23657616,229
0,210001596112,6,580,4,8,3,1,999,0,422100,588
0,50001615788,6,550,2,8,3,3,257,0,773700,270
0,200001695816,6,710,2,6,3,3,999,0,3930000,126
1,110001612939,7,590,2,8,3,1,101,1,73612834,36919
0,160001716121,7,570,4,8,9,3,171,0,39186476,8664
0,200001606008,7,480,4,8,3,3,131,0,225569,380
0,40001609381,6,610,4,6,3,3,581,0,977000,2366
0,70001616722,8,460,2,6,3,1,233,0,300000,5944
0,250001604819,6,520,4,8,5,3,257,0,22698002,264
0,190001605567,5,360,4,8,9,1,125,0,820000,18222
1,120001614728,7,580,2,8,3,3,277,1,49510733,31480
0,190001596765,7,390,2,7,3,1,999,0,5400000,21471
0,170001618837,6,480,2,6,3,3,999,0,6350000,3134
0,120001615765,7,410,2,7,1,3,257,0,105185529,10618
0,170001613281,6,700,2,8,3,1,131,0,10711292,10618
0,270001675927,7,420,2,8,3,3,258,0,72203296,135
0,120001598325,6,590,2,8,9,3,131,0,1150000,329
0,60001608900,6,570,2,8,3,1,257,0,1432704,34584
0,170001619720,7,530,4,8,3,3,102,0,1469830,463
1,140001611691,7,360,2,8,3,3,131,1,225003523,48235
0,130001611572,7,450,4,6,1,1,109,0,200000,365
0,100001675672,7,490,2,8,3,3,233,0,3350000,979
1,150001643210,7,540,2,7,1,3,277,1,7400000,24266
0,40001671703,7,560,4,6,3,3,257,0,15000,4
1,130001607240,6,400,4,8,1,1,142,0,44243843,72698
0,210001620050,6,270,2,8,1,1,931,0,5013942,640
0,170001618760,7,350,2,8,1,2,298,0,869900,704
0,10001643852,7,300,2,8,1,3,115,0,1000000,653
0,170001619892,6,590,2,8,3,1,277,1,62945153,55761
0,110001604926,7,410,2,6,3,1,166,0,1600000,2055
0,20001697692,6,600,2,6,3,3,999,0,172850,30
0,250001613800,6,360,4,8,3,2,151,0,33382796,1690
0,130001727534,6,550,4,6,9,5,999,0,3000000,70
