CD_CARGO,SQ_CANDIDATO,NR_IDADE_DATA_POSSE_x,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_COR_RACA,CD_OCUPACAO,ST_REELEICAO_x,VR_BEM_CANDIDATO_x,QT_VOTOS_NOMINAIS_x,DS_SIT_TOT_TURNO
7,140001600271,43.0,2,8,3,3,109,0,174000.0,1369,0
7,60001635807,45.0,2,8,3,3,277,1,4578559.15,46777,0
6,30001648511,39.0,2,8,1,3,233,0,80000.0,3491,0
6,20001611726,52.0,2,8,3,1,131,0,289258.1,102039,1
7,40001618494,44.0,2,8,3,1,131,0,2633311.8,956,0
7,190001609544,43.0,2,8,3,1,277,1,540324.72,52976,1
7,60001633790,62.0,2,8,1,1,296,0,60000.0,272,0
6,160001614559,39.0,2,6,1,1,999,0,62000.0,212,0
7,60001723731,64.0,2,8,3,3,131,0,380000.0,9162,0
7,40001671682,47.0,2,8,1,3,297,0,493500.0,486,0
7,90001653805,39.0,2,8,3,3,257,0,214021.0,1840,0
6,100001614966,41.0,2,6,3,1,257,0,435000.0,95270,1
7,170001730684,28.0,4,7,1,3,257,0,5000.0,0,0
6,130001634112,54.0,2,3,3,1,172,0,120000.0,363,0
7,130001613334,55.0,2,6,3,3,278,0,177135.37,2773,0
7,130001645060,42.0,4,8,1,1,999,0,345593.0,3253,0
7,10001655359,58.0,4,5,3,3,411,0,110209.0,18,0
7,190001596754,58.0,4,8,3,1,131,1,129988.74,49680,1
7,130001607420,60.0,2,8,3,1,115,0,136165.82,3119,0
6,250001610288,62.0,4,8,9,1,403,0,851446.94,1516,0
7,250001719452,62.0,2,8,1,1,257,0,73888.32,91,0
6,80001719422,39.0,4,7,1,2,999,0,211369.99,51317,1
6,60001608889,28.0,2,8,1,1,101,0,299398.61,10813,0
7,140001601504,55.0,2,8,3,3,124,0,2040000.0,14558,0
7,210001696167,50.0,2,6,1,1,166,0,23000.0,3195,0
7,190001620472,51.0,4,8,3,2,298,0,400000.0,6337,0
7,240001644761,50.0,2,8,3,1,278,0,733717.55,9390,0
7,140001676881,66.0,2,8,3,1,111,0,28070632.0,4672,0
6,120001612324,67.0,2,8,3,1,111,0,4280095.51,96519,1
7,250001611764,64.0,2,8,3,1,922,0,811838.9,11388,0
7,240001647229,31.0,2,8,3,1,142,0,33000.0,866,0
7,240001647205,61.0,4,7,9,3,411,0,240.0,164,0
7,90001605393,44.0,4,8,3,1,999,0,304295.0,478,0
7,80001648805,43.0,2,8,3,1,278,0,131000.0,9580,0
7,160001623132,55.0,2,8,3,1,257,0,358152.35,30931,0
6,130001671793,50.0,4,6,1,1,923,0,10000.0,88,0
6,140001598313,37.0,2,8,1,2,297,0,100000.0,9191,0
7,200001604186,41.0,2,8,3,1,999,0,93663.39,691,0
7,110001701684,57.0,4,8,7,1,999,0,195749.23,324,0
7,250001619388,49.0,2,8,3,1,298,0,235771.93,2158,0
6,250001612105,44.0,2,8,3,1,131,0,748874.4500000001,33516,0
7,250001737233,47.0,4,8,1,3,257,0,580000.0,746,0
6,190001606569,60.0,2,8,3,1,171,0,24000.0,252,0
7,170001619980,53.0,2,8,3,1,257,0,16000.0,374,0
6,50001605379,66.0,2,8,3,3,277,1,971250.06,90131,0
7,10001606199,43.0,2,6,1,3,265,0,800000.0,108,0
6,240001620998,48.0,2,8,3,1,257,0,511972.24,5575,0
6,160001600804,34.0,2,8,3,3,110,0,93997.97,214,0
7,250001621481,50.0,2,2,3,1,999,0,38000.0,300,0
7,250001643784,53.0,2,4,3,2,411,0,16050.0,1383,0
7,220001615064,66.0,2,6,1,3,257,0,6582294.2,4807,0
7,190001639138,47.0,4,8,1,1,230,0,5000.0,266,0
6,190001619504,73.0,2,8,3,3,111,0,46377.91,14889,0
7,80001649877,85.0,2,8,3,1,131,1,6565888.51,20888,1
7,230001602244,36.0,4,7,1,3,257,0,286000.0,3,0
7,220001609486,51.0,2,8,3,2,257,0,438033.22,1005,0
6,60001608854,42.0,2,7,3,3,233,0,141000.0,6028,0
7,270001620115,60.0,4,8,3,1,266,1,594500.0,11532,0
6,90001651346,71.0,2,8,3,3,115,0,8556115.01,35028,0
7,220001600371,55.0,2,6,3,2,602,0,5350.89,1637,0
7,50001673156,39.0,2,6,1,3,257,0,120000.0,684,0
7,220001614425,49.0,4,8,1,3,131,0,161000.0,1093,0
7,170001618411,39.0,2,8,1,3,131,0,100000.0,853,0
6,20001729164,35.0,2,8,3,1,258,0,635528.72,1038,0
7,190001609797,52.0,2,8,3,2,233,0,960000.0,953,0
8,70001606590,47.0,2,8,9,3,258,0,328000.0,1801,0
6,190001636391,43.0,2,6,3,2,999,0,10000.0,386,0
7,190001654263,67.0,2,6,3,3,172,0,22000.0,340,0
6,250001597694,50.0,4,8,5,1,121,0,1374789.09,1959,0
7,120001651188,48.0,2,8,3,3,111,0,3582000.0,5592,0
7,230001605881,45.0,2,8,1,3,111,0,1710853.78,4171,0
7,210001647161,42.0,2,7,1,1,403,0,257.15000000000003,10955,0
7,200001598483,62.0,2,8,3,1,131,0,233600.0,1478,0
7,260001644230,30.0,2,8,3,3,131,0,210324.44,9420,0
7,50001648320,43.0,4,8,3,3,277,1,2284697.19,41076,0
7,190001638484,49.0,2,8,3,3,999,0,1029095.81,3940,0
7,210001601959,67.0,2,7,3,1,154,0,280000.0,7620,0
7,50001609467,47.0,2,8,1,3,232,0,450000.0,1328,0
7,220001724638,53.0,2,6,3,1,999,0,1028595.42,903,0
7,190001639161,82.0,2,8,9,1,171,0,845646.36,2392,0
6,250001604839,55.0,2,8,3,1,921,0,1242834.66,9009,0
7,160001622223,42.0,2,8,3,1,111,0,951661.86,1665,0
6,100001614968,71.0,2,8,3,1,153,0,903089.5,9142,0
6,130001603591,61.0,4,7,5,1,125,0,15000.0,1245,0
6,250001695270,45.0,2,8,1,1,142,0,181812.8,225,0
7,240001614333,33.0,2,8,3,1,232,0,286807.36,17934,0
7,10001643439,71.0,2,8,3,3,277,1,1273838.23,4998,0
7,150001737758,38.0,4,8,3,3,131,0,220000.0,316,0
7,110001655614,45.0,4,8,1,1,132,0,477000.0,1386,0
7,50001600645,58.0,2,8,1,2,298,0,148000.0,40247,0
7,60001634413,50.0,2,6,3,3,537,0,1000.0,790,0
6,50001609354,42.0,2,6,3,2,278,0,135000.0,4822,0
